course_id,title,category,level,skills,duration_hours,rating,students,instructor,description
19,Excel to MySQL: Analytic Techniques for Business,Databases & Data Engineering,Beginner,sql; databases,17,4.6,490000,Duke University,"A beginner-level databases & data engineering course offered by Duke University, covering Excel to MySQL: Analytic Techniques for Business."
20,Using Databases with Python,Databases & Data Engineering,Intermediate,databases; python,7,4.8,220000,University of Michigan,"An intermediate-level databases & data engineering course offered by University of Michigan, covering Using Databases with Python."
21,Introduction to Big Data,Databases & Data Engineering,Intermediate,big data; databases,7,4.6,160000,University of California San Diego,"An intermediate-level databases & data engineering course offered by University of California San Diego, covering Introduction to Big Data."
22,Learn SQL Basics for Data Science,Databases & Data Engineering,Beginner,sql; databases,31,4.6,160000,"University of California, Davis","A beginner-level databases & data engineering course offered by University of California, Davis, covering Learn SQL Basics for Data Science."
23,SQL for Data Science,Databases & Data Engineering,Beginner,sql; databases,13,4.6,160000,"University of California, Davis","A beginner-level databases & data engineering course offered by University of California, Davis, covering SQL for Data Science."
24,Data Warehousing for Business Intelligence,Databases & Data Engineering,Advanced,databases,15,4.5,140000,University of Colorado System,"An advanced-level databases & data engineering course offered by University of Colorado System, covering Data Warehousing for Business Intelligence."
25,"Data Engineering, Big Data, and Machine Learning on GCP",Databases & Data Engineering,Intermediate,big data; databases,32,4.6,120000,Google Cloud,"An intermediate-level databases & data engineering course offered by Google Cloud, covering Data Engineering, Big Data, and Machine Learning on GCP."
26,Google Cloud Platform Big Data and Machine Learning Fundamentals,Databases & Data Engineering,Intermediate,big data; databases,7,4.6,120000,Google Cloud,"An intermediate-level databases & data engineering course offered by Google Cloud, covering Google Cloud Platform Big Data and Machine Learning Fundamentals."
27,Databases and SQL for Data Science,Databases & Data Engineering,Beginner,sql; databases,15,4.7,110000,IBM,"A beginner-level databases & data engineering course offered by IBM, covering Databases and SQL for Data Science."
28,Emerging Technologies: From Smartphones to IoT to Big Data,Databases & Data Engineering,Beginner,big data; databases,35,4.6,17000,Yonsei University,"A beginner-level databases & data engineering course offered by Yonsei University, covering Emerging Technologies: From Smartphones to IoT to Big Data."
29,Modern Big Data Analysis with SQL,Databases & Data Engineering,Beginner,sql; big data; databases,37,4.8,14000,Cloudera,"A beginner-level databases & data engineering course offered by Cloudera, covering Modern Big Data Analysis with SQL."
30,Deep Learning,Machine Learning & AI,Intermediate,deep learning; machine learning,32,4.8,690000,deeplearning.ai,"An intermediate-level machine learning & ai course offered by deeplearning.ai, covering Deep Learning."
31,Neural Networks and Deep Learning,Machine Learning & AI,Intermediate,deep learning; neural networks; machine learning,10,4.9,630000,deeplearning.ai,"An intermediate-level machine learning & ai course offered by deeplearning.ai, covering Neural Networks and Deep Learning."
32,Machine Learning,Machine Learning & AI,Intermediate,machine learning,22,4.6,290000,University of Washington,"An intermediate-level machine learning & ai course offered by University of Washington, covering Machine Learning."
33,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Machine Learning & AI,Beginner,neural networks; machine learning,11,4.9,270000,deeplearning.ai,"A beginner-level machine learning & ai course offered by deeplearning.ai, covering Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization."
34,Convolutional Neural Networks,Machine Learning & AI,Intermediate,neural networks; machine learning,13,4.9,240000,deeplearning.ai,"An intermediate-level machine learning & ai course offered by deeplearning.ai, covering Convolutional Neural Networks."
35,Machine Learning Foundations: A Case Study Approach,Machine Learning & AI,Intermediate,machine learning,8,4.6,240000,University of Washington,"An intermediate-level machine learning & ai course offered by University of Washington, covering Machine Learning Foundations: A Case Study Approach."
36,Structuring Machine Learning Projects,Machine Learning & AI,Beginner,machine learning,4,4.8,220000,deeplearning.ai,"A beginner-level machine learning & ai course offered by deeplearning.ai, covering Structuring Machine Learning Projects."
37,Data Science: Statistics and Machine Learning,Machine Learning & AI,Intermediate,machine learning,39,4.4,210000,Johns Hopkins University,"An intermediate-level machine learning & ai course offered by Johns Hopkins University, covering Data Science: Statistics and Machine Learning."
38,Advanced Machine Learning,Machine Learning & AI,Advanced,machine learning,40,4.5,190000,National Research University Higher School of Economics,"An advanced-level machine learning & ai course offered by National Research University Higher School of Economics, covering Advanced Machine Learning."
39,TensorFlow in Practice,Machine Learning & AI,Intermediate,tensorflow; machine learning,20,4.7,170000,deeplearning.ai,"An intermediate-level machine learning & ai course offered by deeplearning.ai, covering TensorFlow in Practice."
40,Applied Machine Learning in Python,Machine Learning & AI,Intermediate,python; machine learning,15,4.6,150000,University of Michigan,"An intermediate-level machine learning & ai course offered by University of Michigan, covering Applied Machine Learning in Python."
41,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Machine Learning & AI,Intermediate,deep learning; tensorflow; machine learning,10,4.7,150000,deeplearning.ai,"An intermediate-level machine learning & ai course offered by deeplearning.ai, covering Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning."
42,Mathematics for Machine Learning,Machine Learning & AI,Beginner,machine learning,25,4.6,150000,Imperial College London,"A beginner-level machine learning & ai course offered by Imperial College London, covering Mathematics for Machine Learning."
43,Mathematics for Machine Learning: Linear Algebra,Machine Learning & AI,Beginner,machine learning,8,4.7,140000,Imperial College London,"A beginner-level machine learning & ai course offered by Imperial College London, covering Mathematics for Machine Learning: Linear Algebra."
44,Machine Learning with Python,Machine Learning & AI,Intermediate,python; machine learning,6,4.7,120000,IBM,"An intermediate-level machine learning & ai course offered by IBM, covering Machine Learning with Python."
45,Getting Started with AWS Machine Learning,Machine Learning & AI,Intermediate,machine learning,7,4.5,73000,Amazon Web Services,"An intermediate-level machine learning & ai course offered by Amazon Web Services, covering Getting Started with AWS Machine Learning."
46,Machine Learning with TensorFlow on Google Cloud Platform,Machine Learning & AI,Intermediate,tensorflow; machine learning,45,4.5,72000,Google Cloud,"An intermediate-level machine learning & ai course offered by Google Cloud, covering Machine Learning with TensorFlow on Google Cloud Platform."
47,Machine Learning for Business Professionals,Machine Learning & AI,Intermediate,machine learning,9,4.6,58000,Google Cloud,"An intermediate-level machine learning & ai course offered by Google Cloud, covering Machine Learning for Business Professionals."
48,Mathematics for Machine Learning: Multivariate Calculus,Machine Learning & AI,Beginner,machine learning,5,4.7,51000,Imperial College London,"A beginner-level machine learning & ai course offered by Imperial College London, covering Mathematics for Machine Learning: Multivariate Calculus."
49,Convolutional Neural Networks in TensorFlow,Machine Learning & AI,Intermediate,neural networks; tensorflow; machine learning,5,4.7,46000,deeplearning.ai,"An intermediate-level machine learning & ai course offered by deeplearning.ai, covering Convolutional Neural Networks in TensorFlow."
50,Data Science,Data Science,Beginner,data science,27,4.5,830000,Johns Hopkins University,"A beginner-level data science course offered by Johns Hopkins University, covering Data Science."
51,Data Science: Foundations using R,Data Science,Beginner,data science,18,4.6,740000,Johns Hopkins University,"A beginner-level data science course offered by Johns Hopkins University, covering Data Science: Foundations using R."
52,Applied Data Science with Python,Data Science,Intermediate,python; data science,26,4.5,480000,University of Michigan,"An intermediate-level data science course offered by University of Michigan, covering Applied Data Science with Python."
53,IBM Data Science,Data Science,Beginner,data science,84,4.6,480000,IBM,"A beginner-level data science course offered by IBM, covering IBM Data Science."
54,R Programming,Data Science,Intermediate,r; data science,9,4.6,480000,Johns Hopkins University,"An intermediate-level data science course offered by Johns Hopkins University, covering R Programming."
55,The Data Scientist’s Toolbox,Data Science,Intermediate,data science,13,4.6,420000,Johns Hopkins University,"An intermediate-level data science course offered by Johns Hopkins University, covering The Data Scientist’s Toolbox."
56,Introduction to Data Science in Python,Data Science,Intermediate,python; data science,8,4.5,390000,University of Michigan,"An intermediate-level data science course offered by University of Michigan, covering Introduction to Data Science in Python."
57,Advanced Data Science with IBM,Data Science,Advanced,data science,40,4.4,320000,IBM,"An advanced-level data science course offered by IBM, covering Advanced Data Science with IBM."
58,Introduction to Data Science,Data Science,Beginner,data science,16,4.6,310000,IBM,"A beginner-level data science course offered by IBM, covering Introduction to Data Science."
59,Business Analytics,Data Science,Beginner,data science,38,4.6,280000,University of Pennsylvania,"A beginner-level data science course offered by University of Pennsylvania, covering Business Analytics."
60,Mastering Data Analysis in Excel,Data Science,Intermediate,data analysis; excel; data science,11,4.2,280000,Duke University,"An intermediate-level data science course offered by Duke University, covering Mastering Data Analysis in Excel."
61,What is Data Science?,Data Science,Beginner,data science,12,4.7,260000,IBM,"A beginner-level data science course offered by IBM, covering What is Data Science?."
62,Excel Skills for Business,Data Science,Beginner,excel; data science,18,4.9,240000,Macquarie University,"A beginner-level data science course offered by Macquarie University, covering Excel Skills for Business."
63,Applied Data Science,Data Science,Beginner,data science,44,4.6,220000,IBM,"A beginner-level data science course offered by IBM, covering Applied Data Science."
64,Data Analysis and Presentation Skills: the PwC Approach,Data Science,Beginner,data analysis; data science,27,4.6,220000,PwC,"A beginner-level data science course offered by PwC, covering Data Analysis and Presentation Skills: the PwC Approach."
65,Excel Skills for Business: Essentials,Data Science,Beginner,excel; data science,5,4.9,200000,Macquarie University,"A beginner-level data science course offered by Macquarie University, covering Excel Skills for Business: Essentials."
66,Executive Data Science,Data Science,Beginner,data science,32,4.5,170000,Johns Hopkins University,"A beginner-level data science course offered by Johns Hopkins University, covering Executive Data Science."
67,Python for Data Science and AI,Data Science,Beginner,python; data science,8,4.6,170000,IBM,"A beginner-level data science course offered by IBM, covering Python for Data Science and AI."
68,Introduction to Probability and Data,Data Science,Beginner,probability; data science,14,4.7,160000,Duke University,"A beginner-level data science course offered by Duke University, covering Introduction to Probability and Data."
69,Data Science Math Skills,Data Science,Beginner,data science,13,4.5,140000,Duke University,"A beginner-level data science course offered by Duke University, covering Data Science Math Skills."
70,Web Design for Everybody: Basics of Web Development & Coding,Web Development,Beginner,web development,43,4.7,280000,University of Michigan,"A beginner-level web development course offered by University of Michigan, covering Web Design for Everybody: Basics of Web Development & Coding."
71,"Programming Foundations with JavaScript, HTML and CSS",Web Development,Beginner,html; css; javascript; web development,9,4.6,250000,Duke University,"A beginner-level web development course offered by Duke University, covering Programming Foundations with JavaScript, HTML and CSS."
72,"HTML, CSS, and Javascript for Web Developers",Web Development,Intermediate,html; css; javascript; web development,13,4.8,240000,Johns Hopkins University,"An intermediate-level web development course offered by Johns Hopkins University, covering HTML, CSS, and Javascript for Web Developers."
73,Introduction to HTML5,Web Development,Intermediate,html; web development,7,4.7,220000,University of Michigan,"An intermediate-level web development course offered by University of Michigan, covering Introduction to HTML5."
74,Responsive Website Development and Design,Web Development,Beginner,responsive design; web development,37,4.5,170000,"Goldsmiths, University of London","A beginner-level web development course offered by Goldsmiths, University of London, covering Responsive Website Development and Design."
75,Full Stack Web and Multiplatform Mobile App Development,Web Development,Intermediate,full stack; web development,17,4.7,150000,The Hong Kong University of Science and Technology,"An intermediate-level web development course offered by The Hong Kong University of Science and Technology, covering Full Stack Web and Multiplatform Mobile App Development."
76,Full-Stack Web Development with React,Web Development,Intermediate,react; full stack; web development,16,4.7,140000,The Hong Kong University of Science and Technology,"An intermediate-level web development course offered by The Hong Kong University of Science and Technology, covering Full-Stack Web Development with React."
77,Web Applications for Everybody,Web Development,Intermediate,web development,36,4.8,120000,University of Michigan,"An intermediate-level web development course offered by University of Michigan, covering Web Applications for Everybody."
78,Front-End Web UI Frameworks and Tools: Bootstrap 4,Web Development,Intermediate,bootstrap; web development,7,4.8,89000,The Hong Kong University of Science and Technology,"An intermediate-level web development course offered by The Hong Kong University of Science and Technology, covering Front-End Web UI Frameworks and Tools: Bootstrap 4."
79,Introduction to CSS3,Web Development,Intermediate,css; web development,8,4.8,84000,University of Michigan,"An intermediate-level web development course offered by University of Michigan, covering Introduction to CSS3."
80,Introduction to Web Development,Web Development,Beginner,web development,5,4.7,76000,"University of California, Davis","A beginner-level web development course offered by University of California, Davis, covering Introduction to Web Development."
81,Front-End Web Development with React,Web Development,Intermediate,react; web development,7,4.7,45000,The Hong Kong University of Science and Technology,"An intermediate-level web development course offered by The Hong Kong University of Science and Technology, covering Front-End Web Development with React."
82,Cloud Engineering with Google Cloud,Cloud Computing,Intermediate,gcp; cloud computing,85,4.7,310000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Cloud Engineering with Google Cloud."
83,Developing Applications with Google Cloud Platform,Cloud Computing,Intermediate,gcp; cloud computing,18,4.7,300000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Developing Applications with Google Cloud Platform."
84,Security in Google Cloud Platform,Cloud Computing,Intermediate,gcp; cloud computing,27,4.7,300000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Security in Google Cloud Platform."
85,Networking in Google Cloud,Cloud Computing,Intermediate,gcp; cloud computing,23,4.7,290000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Networking in Google Cloud."
86,AWS Fundamentals,Cloud Computing,Beginner,aws; cloud computing,29,4.6,130000,Amazon Web Services,"A beginner-level cloud computing course offered by Amazon Web Services, covering AWS Fundamentals."
87,Data Engineering with Google Cloud,Cloud Computing,Intermediate,gcp; cloud computing,70,4.6,120000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Data Engineering with Google Cloud."
88,AWS Fundamentals: Going Cloud-Native,Cloud Computing,Beginner,aws; cloud computing,9,4.7,110000,Amazon Web Services,"A beginner-level cloud computing course offered by Amazon Web Services, covering AWS Fundamentals: Going Cloud-Native."
89,Cloud Computing,Cloud Computing,Intermediate,cloud computing,20,4.4,110000,University of Illinois at Urbana-Champaign,"An intermediate-level cloud computing course offered by University of Illinois at Urbana-Champaign, covering Cloud Computing."
90,Essential Google Cloud Infrastructure: Foundation,Cloud Computing,Intermediate,gcp; cloud computing,9,4.7,83000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Essential Google Cloud Infrastructure: Foundation."
91,Essential Google Cloud Infrastructure: Core Services,Cloud Computing,Intermediate,gcp; cloud computing,9,4.7,68000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Essential Google Cloud Infrastructure: Core Services."
92,Elastic Google Cloud Infrastructure: Scaling and Automation,Cloud Computing,Intermediate,gcp; cloud computing,7,4.7,57000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Elastic Google Cloud Infrastructure: Scaling and Automation."
93,Cloud Computing Basics (Cloud 101),Cloud Computing,Beginner,cloud computing,14,4.5,37000,LearnQuest,"A beginner-level cloud computing course offered by LearnQuest, covering Cloud Computing Basics (Cloud 101)."
94,Google Cloud Platform Fundamentals for AWS Professionals,Cloud Computing,Intermediate,gcp; aws; cloud computing,8,4.7,36000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Google Cloud Platform Fundamentals for AWS Professionals."
95,Industrial IoT on Google Cloud Platform,Cloud Computing,Beginner,gcp; cloud computing,15,4.5,34000,Google Cloud,"A beginner-level cloud computing course offered by Google Cloud, covering Industrial IoT on Google Cloud Platform."
96,AWS Fundamentals: Building Serverless Applications,Cloud Computing,Beginner,aws; serverless; cloud computing,14,4.7,27000,Amazon Web Services,"A beginner-level cloud computing course offered by Amazon Web Services, covering AWS Fundamentals: Building Serverless Applications."
97,From Data to Insights with Google Cloud Platform,Cloud Computing,Beginner,gcp; cloud computing,35,4.6,26000,Google Cloud,"A beginner-level cloud computing course offered by Google Cloud, covering From Data to Insights with Google Cloud Platform."
98,Preparing for the Google Cloud Associate Cloud Engineer Exam,Cloud Computing,Beginner,gcp; cloud computing,5,4.7,22000,Google Cloud,"A beginner-level cloud computing course offered by Google Cloud, covering Preparing for the Google Cloud Associate Cloud Engineer Exam."
99,Developing APIs with Google Cloud's Apigee API Platform,Cloud Computing,Intermediate,gcp; cloud computing,34,4.6,16000,Google Cloud,"An intermediate-level cloud computing course offered by Google Cloud, covering Developing APIs with Google Cloud's Apigee API Platform."
100,AWS Fundamentals: Migrating to the Cloud,Cloud Computing,Intermediate,aws; cloud computing,14,4.5,13000,Amazon Web Services,"An intermediate-level cloud computing course offered by Amazon Web Services, covering AWS Fundamentals: Migrating to the Cloud."
101,AWS Fundamentals: Addressing Security Risk,Cloud Computing,Beginner,aws; cloud computing,6,4.3,11000,Amazon Web Services,"A beginner-level cloud computing course offered by Amazon Web Services, covering AWS Fundamentals: Addressing Security Risk."
102,Fundamentals of Graphic Design,UI/UX Design,Beginner,graphic design; ui/ux,12,4.8,290000,California Institute of the Arts,"A beginner-level ui/ux design course offered by California Institute of the Arts, covering Fundamentals of Graphic Design."
103,Design Thinking for Innovation,UI/UX Design,Beginner,design thinking; ui/ux,15,4.6,240000,University of Virginia,"A beginner-level ui/ux design course offered by University of Virginia, covering Design Thinking for Innovation."
104,Interaction Design,UI/UX Design,Intermediate,interaction design; ui/ux,22,4.5,150000,University of California San Diego,"An intermediate-level ui/ux design course offered by University of California San Diego, covering Interaction Design."
105,Introduction to User Experience Design,UI/UX Design,Beginner,ux; ui/ux,6,4.5,87000,Georgia Institute of Technology,"A beginner-level ui/ux design course offered by Georgia Institute of Technology, covering Introduction to User Experience Design."
106,Agile Meets Design Thinking,UI/UX Design,Beginner,design thinking; ui/ux,11,4.7,69000,University of Virginia,"A beginner-level ui/ux design course offered by University of Virginia, covering Agile Meets Design Thinking."
107,UI / UX Design,UI/UX Design,Beginner,ux; ui/ux,27,4.7,68000,California Institute of the Arts,"A beginner-level ui/ux design course offered by California Institute of the Arts, covering UI / UX Design."
108,User Interface Design,UI/UX Design,Intermediate,ui design; ui/ux,23,4.6,43000,University of Minnesota,"An intermediate-level ui/ux design course offered by University of Minnesota, covering User Interface Design."
109,UX Design Fundamentals,UI/UX Design,Beginner,ux; ui/ux,14,4.8,25000,California Institute of the Arts,"A beginner-level ui/ux design course offered by California Institute of the Arts, covering UX Design Fundamentals."
110,Managing Innovation and Design Thinking,UI/UX Design,Beginner,design thinking; ui/ux,37,4.7,23000,HEC Paris,"A beginner-level ui/ux design course offered by HEC Paris, covering Managing Innovation and Design Thinking."
111,User Experience Research and Design,UI/UX Design,Beginner,ux; ui/ux,32,4.8,23000,University of Michigan,"A beginner-level ui/ux design course offered by University of Michigan, covering User Experience Research and Design."
112,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,UI/UX Design,Intermediate,design thinking; ui/ux,7,4.6,19000,The University of Sydney,"An intermediate-level ui/ux design course offered by The University of Sydney, covering Design-Led Strategy: Design thinking for business strategy and entrepreneurship."
113,Design Thinking for the Greater Good: Innovation in the Social Sector,UI/UX Design,Beginner,design thinking; ui/ux,14,4.6,17000,University of Virginia,"A beginner-level ui/ux design course offered by University of Virginia, covering Design Thinking for the Greater Good: Innovation in the Social Sector."
114,Introduction to User Experience Principles and Processes,UI/UX Design,Beginner,ux; ui/ux,9,4.8,16000,University of Michigan,"A beginner-level ui/ux design course offered by University of Michigan, covering Introduction to User Experience Principles and Processes."
115,Graphic Design Elements for Non-Designers,UI/UX Design,Beginner,graphic design; ui/ux,41,4.7,10000,University of Colorado Boulder,"A beginner-level ui/ux design course offered by University of Colorado Boulder, covering Graphic Design Elements for Non-Designers."
116,Successful Negotiation: Essential Strategies and Skills,Business & Product Management,Intermediate,negotiation; business strategy; business,4,4.8,750000,University of Michigan,"An intermediate-level business & product management course offered by University of Michigan, covering Successful Negotiation: Essential Strategies and Skills."
117,Project Management & Other Tools for Career Development,Business & Product Management,Beginner,project management; business,22,4.6,440000,"University of California, Irvine","A beginner-level business & product management course offered by University of California, Irvine, covering Project Management & Other Tools for Career Development."
118,Digital Marketing,Business & Product Management,Beginner,marketing; business,41,4.6,380000,University of Illinois at Urbana-Champaign,"A beginner-level business & product management course offered by University of Illinois at Urbana-Champaign, covering Digital Marketing."
119,Marketing in a Digital World,Business & Product Management,Beginner,marketing; business,4,4.7,310000,University of Illinois at Urbana-Champaign,"A beginner-level business & product management course offered by University of Illinois at Urbana-Champaign, covering Marketing in a Digital World."
120,English for Business and Entrepreneurship,Business & Product Management,Beginner,entrepreneurship; business,9,4.8,230000,University of Pennsylvania,"A beginner-level business & product management course offered by University of Pennsylvania, covering English for Business and Entrepreneurship."
121,Project Management Principles and Practices,Business & Product Management,Beginner,project management; business,27,4.7,230000,"University of California, Irvine","A beginner-level business & product management course offered by University of California, Irvine, covering Project Management Principles and Practices."
122,Introduction to Marketing,Business & Product Management,Intermediate,marketing; business,8,4.8,220000,University of Pennsylvania,"An intermediate-level business & product management course offered by University of Pennsylvania, covering Introduction to Marketing."
123,Viral Marketing and How to Craft Contagious Content,Business & Product Management,Intermediate,marketing; business,5,4.7,150000,University of Pennsylvania,"An intermediate-level business & product management course offered by University of Pennsylvania, covering Viral Marketing and How to Craft Contagious Content."
124,Digital Product Management,Business & Product Management,Beginner,product management; business,21,4.7,140000,University of Virginia,"A beginner-level business & product management course offered by University of Virginia, covering Digital Product Management."
125,Social Media Marketing,Business & Product Management,Beginner,marketing; business,44,4.6,130000,Northwestern University,"A beginner-level business & product management course offered by Northwestern University, covering Social Media Marketing."
126,Entrepreneurship,Business & Product Management,Beginner,entrepreneurship; business,45,4.8,110000,University of Pennsylvania,"A beginner-level business & product management course offered by University of Pennsylvania, covering Entrepreneurship."
127,Software Product Management,Business & Product Management,Beginner,product management; business,33,4.6,110000,University of Alberta,"A beginner-level business & product management course offered by University of Alberta, covering Software Product Management."
128,Strategic Leadership and Management,Business & Product Management,Beginner,leadership; business strategy; business,43,4.7,100000,University of Illinois at Urbana-Champaign,"A beginner-level business & product management course offered by University of Illinois at Urbana-Champaign, covering Strategic Leadership and Management."
129,The Strategy of Content Marketing,Business & Product Management,Intermediate,marketing; business strategy; business,15,4.5,100000,"University of California, Davis","An intermediate-level business & product management course offered by University of California, Davis, covering The Strategy of Content Marketing."
130,Inspired Leadership,Business & Product Management,Intermediate,leadership; business,25,4.7,97000,Case Western Reserve University,"An intermediate-level business & product management course offered by Case Western Reserve University, covering Inspired Leadership."
131,Agile Development,Business & Product Management,Beginner,agile; business,21,4.7,94000,University of Virginia,"A beginner-level business & product management course offered by University of Virginia, covering Agile Development."
132,Marketing Mix Implementation,Business & Product Management,Beginner,marketing; business,35,4.6,93000,IE Business School,"A beginner-level business & product management course offered by IE Business School, covering Marketing Mix Implementation."
133,Organizational Leadership,Business & Product Management,Intermediate,leadership; business,30,4.7,92000,Northwestern University,"An intermediate-level business & product management course offered by Northwestern University, covering Organizational Leadership."
134,Business Strategy,Business & Product Management,Beginner,business strategy; business,27,4.7,89000,University of Virginia,"A beginner-level business & product management course offered by University of Virginia, covering Business Strategy."
135,Entrepreneurship 1: Developing the Opportunity,Business & Product Management,Intermediate,entrepreneurship; business,14,4.8,86000,University of Pennsylvania,"An intermediate-level business & product management course offered by University of Pennsylvania, covering Entrepreneurship 1: Developing the Opportunity."
